photograph,row,column,loc,ratio1,ratio2,date,time,treatment,cw/rw,CFUs lower,MCH lower,NP lower,CFUs middle,MCH middle,NP middle,CFUs upper,MCH upper,NP upper,alternative CFUs lower,alternative MCH lower, alternative NP lower, alternative CFUs middle, alternative MCH middle,alternative NP middle,alternative CFUs upper,alternative MCH upper,alternative NP upper
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,6,"('c', 6)",ratio1,ratio2,date,time,treatment,rotation,0.004124761298535964,0.0,0.004124761298535964,0.0027175491351671627,0.0,0.0027175491351671627,0.0016559241348293172,0.0,0.0016559241348293172,0,0,0,0.0027175491351671627,0.0,0.0027175491351671627,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,5,"('c', 5)",ratio1,ratio2,date,time,treatment,rotation,0.0065996180776575425,0.0,0.0065996180776575425,0.004348078616267461,0.0,0.004348078616267461,0.0026494786157269076,0.0,0.0026494786157269076,0,0,0,0.004348078616267461,0.0,0.004348078616267461,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,4,"('c', 4)",ratio1,ratio2,date,time,treatment,rotation,0.00577466581795035,0.0,0.00577466581795035,0.003804568789234028,0.0,0.003804568789234028,0.0023182937887610442,0.0,0.0023182937887610442,0,0,0,0.003804568789234028,0.0,0.003804568789234028,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,3,"('c', 3)",ratio1,ratio2,date,time,treatment,rotation,0.0024748567791215786,0.0,0.0024748567791215786,0.0016305294811002975,0.0,0.0016305294811002975,0.0009935544808975904,0.0,0.0009935544808975904,0,0,0,0.0016305294811002975,0.0,0.0016305294811002975,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,2,"('c', 2)",ratio1,ratio2,date,time,treatment,rotation,0.0032998090388287713,0.0,0.0032998090388287713,0.0021740393081337303,0.0,0.0021740393081337303,0.0013247393078634538,0.0,0.0013247393078634538,0,0,0,0.0021740393081337303,0.0,0.0021740393081337303,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,c,1,"('c', 1)",ratio1,ratio2,date,time,treatment,rotation,0.457848504137492,0.0,0.457848504137492,0.30164795400355504,0.0,0.30164795400355504,0.1838075789660542,0.0,0.1838075789660542,0,0,0,0.30164795400355504,0.0,0.30164795400355504,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,12,"('d', 12)",ratio1,ratio2,date,time,treatment,rotation,6.1038217695735195,2.392361553150859,3.7114602164226604,4.021429210220368,1.5761784983969545,2.445250711823413,2.4504365347204238,0.960435998201004,1.4900005365194198,2.847866915989915,1.1162067923193342,1.7316601236705809,4.021429210220368,1.5761784983969545,2.445250711823413,2.847866915989915,1.1162067923193342,1.7316601236705809
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,11,"('d', 11)",ratio1,ratio2,date,time,treatment,rotation,0.009899427116486314,0.0,0.009899427116486314,0.00652211792440119,0.0,0.00652211792440119,0.003974217923590362,0.0,0.003974217923590362,0,0,0,0.00652211792440119,0.0,0.00652211792440119,0,0,0
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,10,"('d', 10)",ratio1,ratio2,date,time,treatment,rotation,9.038176957352004,2.214996817313813,6.8231801400381915,5.954693664978287,1.4593238855847663,4.495369779393521,3.628460964238,0.8892312604033433,2.7392297038346567,4.216952281603664,1.0334535301301422,3.183498751473522,5.954693664978287,1.4593238855847663,4.495369779393521,4.216952281603664,1.0334535301301422,3.183498751473522
P123_type_ratio1_ratio2_ND_date_treatment_time_rotation.png,d,9,"('d', 9)",ratio1,ratio2,date,time,treatment,rotation,0.0016499045194143856,0.0,0.0016499045194143856,0.0010870196540668652,0.0,0.0010870196540668652,0.0006623696539317269,0.0,0.0006623696539317269,0,0,0,0.0010870196540668652,0.0,0.0010870196540668652,0,0,0
